"","gene_id","n"
"228","ENSG00000084731",4
"229","ENSG00000084764",4
"230","ENSG00000085063",3
"231","ENSG00000085365",3
"232","ENSG00000085433",3
"233","ENSG00000085662",2
"234","ENSG00000085832",3
"235","ENSG00000086061",4
"236","ENSG00000086289",4
"237","ENSG00000086300",4
"238","ENSG00000086504",4
"239","ENSG00000087074",2
"240","ENSG00000087086",4
"241","ENSG00000087250",4
"242","ENSG00000087258",4
"243","ENSG00000087460",4
"244","ENSG00000087470",3
"245","ENSG00000088367",3
"246","ENSG00000088387",3
"247","ENSG00000088832",4
"248","ENSG00000088899",3
"249","ENSG00000088986",4
"250","ENSG00000088992",4
"251","ENSG00000089009",3
"252","ENSG00000089063",2
"253","ENSG00000089157",3
"254","ENSG00000089169",3
"255","ENSG00000089199",4
"256","ENSG00000089220",4
"257","ENSG00000089280",2
"258","ENSG00000089486",4
"259","ENSG00000089693",4
"260","ENSG00000089737",4
"261","ENSG00000089818",4
"262","ENSG00000090097",2
"263","ENSG00000090238",4
"264","ENSG00000090266",3
"265","ENSG00000090581",2
"266","ENSG00000091129",4
"267","ENSG00000091157",3
"268","ENSG00000091164",3
"269","ENSG00000091428",4
"270","ENSG00000091513",4
"271","ENSG00000092051",4
"272","ENSG00000092096",4
"273","ENSG00000092199",3
"274","ENSG00000092445",2
"275","ENSG00000092529",3
"276","ENSG00000092621",2
"277","ENSG00000092820",4
"278","ENSG00000092841",4
"279","ENSG00000092964",4
"280","ENSG00000093010",3
"281","ENSG00000096092",3
"282","ENSG00000096384",4
"283","ENSG00000097021",4
"284","ENSG00000099194",4
"285","ENSG00000099250",2
"286","ENSG00000099308",4
"287","ENSG00000099341",4
"288","ENSG00000099365",4
"289","ENSG00000099622",4
"290","ENSG00000099624",4
"291","ENSG00000099795",3
"292","ENSG00000099797",2
"293","ENSG00000099817",4
"294","ENSG00000099860",2
"295","ENSG00000099977",3
"296","ENSG00000100030",4
"297","ENSG00000100077",3
"298","ENSG00000100095",4
"299","ENSG00000100097",4
"300","ENSG00000100138",3
"301","ENSG00000100142",2
"302","ENSG00000100167",4
"303","ENSG00000100201",4
"304","ENSG00000100242",4
"305","ENSG00000100276",2
"306","ENSG00000100285",4
"307","ENSG00000100314",3
"308","ENSG00000100316",4
"309","ENSG00000100320",3
"310","ENSG00000100321",4
"311","ENSG00000100364",4
"312","ENSG00000100379",4
"313","ENSG00000100380",2
"314","ENSG00000100387",2
"315","ENSG00000100401",4
"316","ENSG00000100412",2
"317","ENSG00000100427",3
"318","ENSG00000100442",3
"319","ENSG00000100505",3
"320","ENSG00000100554",4
"321","ENSG00000100604",4
"322","ENSG00000100605",2
"323","ENSG00000100626",3
"324","ENSG00000100650",3
"325","ENSG00000100664",3
