"gene_id","n"
"ENSG00000091129",4
"ENSG00000091157",3
"ENSG00000091164",3
"ENSG00000091428",4
"ENSG00000091513",4
"ENSG00000092051",4
"ENSG00000092096",4
"ENSG00000092199",3
"ENSG00000092445",2
"ENSG00000092529",3
"ENSG00000092621",2
"ENSG00000092820",4
"ENSG00000092841",4
"ENSG00000092964",4
"ENSG00000093010",3
"ENSG00000096092",3
"ENSG00000096384",4
"ENSG00000097021",4
"ENSG00000099194",4
"ENSG00000099250",2
"ENSG00000099308",4
"ENSG00000099341",4
"ENSG00000099365",4
"ENSG00000099622",4
"ENSG00000099624",4
"ENSG00000099795",3
"ENSG00000099797",2
"ENSG00000099817",4
"ENSG00000099977",3
"ENSG00000100030",4
"ENSG00000100077",3
"ENSG00000100095",4
"ENSG00000100097",4
"ENSG00000100138",3
"ENSG00000100142",2
"ENSG00000100167",4
"ENSG00000100201",4
"ENSG00000100242",4
"ENSG00000100276",2
"ENSG00000100285",4
"ENSG00000100314",3
"ENSG00000100316",4
"ENSG00000100320",3
"ENSG00000100321",4
"ENSG00000100364",4
"ENSG00000100379",4
"ENSG00000100380",2
"ENSG00000100387",2
"ENSG00000100401",4
"ENSG00000100412",2
"ENSG00000100427",3
"ENSG00000100442",3
"ENSG00000100505",3
"ENSG00000100554",4
"ENSG00000100604",4
"ENSG00000100605",2
"ENSG00000100626",3
"ENSG00000100650",3
"ENSG00000100664",3
"ENSG00000100804",4
"ENSG00000100884",4
"ENSG00000100902",3
"ENSG00000100979",3
"ENSG00000100997",4
"ENSG00000101079",4
"ENSG00000101152",4
"ENSG00000101182",4
"ENSG00000101210",4
"ENSG00000101298",2
"ENSG00000101327",3
"ENSG00000101439",4
"ENSG00000101460",4
"ENSG00000101474",4
"ENSG00000101489",4
"ENSG00000101558",2
"ENSG00000101856",4
"ENSG00000102003",4
"ENSG00000102109",4
"ENSG00000102144",4
"ENSG00000102181",3
"ENSG00000102226",4
"ENSG00000102409",4
"ENSG00000102471",4
"ENSG00000102760",4
"ENSG00000102804",4
"ENSG00000102879",2
"ENSG00000102934",4
"ENSG00000103024",2
"ENSG00000103034",4
"ENSG00000103056",3
"ENSG00000103089",2
"ENSG00000103145",3
"ENSG00000103174",2
"ENSG00000103260",4
"ENSG00000103266",3
"ENSG00000103316",4
"ENSG00000103363",4
"ENSG00000103415",3
"ENSG00000103528",2
"ENSG00000103647",2
"ENSG00000103657",2
"ENSG00000103723",2
"ENSG00000103769",4
"ENSG00000103811",3
"ENSG00000104093",3
"ENSG00000104112",3
"ENSG00000104267",4
"ENSG00000104327",3
"ENSG00000104381",3
"ENSG00000104388",4
"ENSG00000104419",3
"ENSG00000104435",4
"ENSG00000104490",4
"ENSG00000104529",3
"ENSG00000104695",4
"ENSG00000104722",4
"ENSG00000104723",3
"ENSG00000104763",2
"ENSG00000104833",4
"ENSG00000104888",4
"ENSG00000104904",4
"ENSG00000104960",2
"ENSG00000104964",4
"ENSG00000104979",2
"ENSG00000105185",2
"ENSG00000105193",4
"ENSG00000105220",4
"ENSG00000105223",4
"ENSG00000105245",3
"ENSG00000105254",4
"ENSG00000105255",3
"ENSG00000105258",2
"ENSG00000105270",4
"ENSG00000105290",4
"ENSG00000105372",4
"ENSG00000105376",4
"ENSG00000105393",2
"ENSG00000105401",4
"ENSG00000105402",4
"ENSG00000105404",3
"ENSG00000105409",4
"ENSG00000105419",3
"ENSG00000105518",2
"ENSG00000105520",4
"ENSG00000105568",4
"ENSG00000105583",3
"ENSG00000105613",3
"ENSG00000105640",4
"ENSG00000105642",3
"ENSG00000105649",4
"ENSG00000105662",2
"ENSG00000105695",4
"ENSG00000105696",4
"ENSG00000105701",4
"ENSG00000105711",4
"ENSG00000105723",3
"ENSG00000105737",3
"ENSG00000105738",2
"ENSG00000105854",4
"ENSG00000105887",4
"ENSG00000105894",3
"ENSG00000105993",3
"ENSG00000106089",4
"ENSG00000106105",2
"ENSG00000106153",4
"ENSG00000106211",2
"ENSG00000106236",4
"ENSG00000106278",3
"ENSG00000106299",4
"ENSG00000106367",4
"ENSG00000106537",3
"ENSG00000106538",2
"ENSG00000106615",4
"ENSG00000106617",3
"ENSG00000106682",2
"ENSG00000106723",3
"ENSG00000106803",2
"ENSG00000106853",2
"ENSG00000106976",4
"ENSG00000106992",3
"ENSG00000107105",3
"ENSG00000107130",4
"ENSG00000107223",4
"ENSG00000107281",4
"ENSG00000107295",4
"ENSG00000107317",4
"ENSG00000107331",4
"ENSG00000107372",4
"ENSG00000107518",3
"ENSG00000107742",4
"ENSG00000107758",4
"ENSG00000107798",2
"ENSG00000107863",4
"ENSG00000107872",2
"ENSG00000107902",4
"ENSG00000108091",3
"ENSG00000108106",4
"ENSG00000108107",4
"ENSG00000108231",3
"ENSG00000108262",4
"ENSG00000108298",4
"ENSG00000108309",4
"ENSG00000108352",2
"ENSG00000108387",4
"ENSG00000108395",4
"ENSG00000108509",2
"ENSG00000108518",3
"ENSG00000108528",4
"ENSG00000108551",3
"ENSG00000108561",4
"ENSG00000108654",4
"ENSG00000108797",4
"ENSG00000108848",2
"ENSG00000108861",3
"ENSG00000108924",2
"ENSG00000108946",4
"ENSG00000108947",2
"ENSG00000108953",4
"ENSG00000108960",4
"ENSG00000109046",3
"ENSG00000109099",4
"ENSG00000109107",4
"ENSG00000109180",4
"ENSG00000109332",2
"ENSG00000109339",4
"ENSG00000109390",3
"ENSG00000109466",4
"ENSG00000109472",4
"ENSG00000109475",4
"ENSG00000109654",4
"ENSG00000109670",3
"ENSG00000109738",4
"ENSG00000109846",4
"ENSG00000109956",4
"ENSG00000109971",4
"ENSG00000110047",2
"ENSG00000110076",3
"ENSG00000110107",2
"ENSG00000110237",3
"ENSG00000110321",4
"ENSG00000110328",2
"ENSG00000110400",2
"ENSG00000110427",3
"ENSG00000110436",4
"ENSG00000110514",4
"ENSG00000110651",4
"ENSG00000110675",4
"ENSG00000110700",4
"ENSG00000110717",3
"ENSG00000110786",2
"ENSG00000110841",3
"ENSG00000110955",4
"ENSG00000110958",4
"ENSG00000111229",4
"ENSG00000111275",3
"ENSG00000111328",4
"ENSG00000111371",2
"ENSG00000111639",2
"ENSG00000111640",4
"ENSG00000111669",4
"ENSG00000111674",4
"ENSG00000111678",2
"ENSG00000111696",3
"ENSG00000111716",4
"ENSG00000111726",4
"ENSG00000111775",4
"ENSG00000111885",2
"ENSG00000111897",4
"ENSG00000111912",3
"ENSG00000112081",2
"ENSG00000112096",4
"ENSG00000112137",4
"ENSG00000112146",2
"ENSG00000112186",4
"ENSG00000112290",4
"ENSG00000112306",4
"ENSG00000112309",4
"ENSG00000112335",4
"ENSG00000112379",2
"ENSG00000112514",4
"ENSG00000112531",4
"ENSG00000112695",4
"ENSG00000112697",4
"ENSG00000112902",4
"ENSG00000112972",4
"ENSG00000113013",2
"ENSG00000113140",4
"ENSG00000113161",3
"ENSG00000113269",2
"ENSG00000113319",2
"ENSG00000113327",4
"ENSG00000113387",4
"ENSG00000113558",4
"ENSG00000113575",4
"ENSG00000113578",4
"ENSG00000113758",2
"ENSG00000113763",2
"ENSG00000113811",2
"ENSG00000114023",3
"ENSG00000114115",2
"ENSG00000114125",3
"ENSG00000114383",4
"ENSG00000114391",4
"ENSG00000114544",2
"ENSG00000114554",2
"ENSG00000114573",4
"ENSG00000114626",2
"ENSG00000114631",4
"ENSG00000114784",3
"ENSG00000114902",3
"ENSG00000114923",2
"ENSG00000114942",2
"ENSG00000114948",2
"ENSG00000115194",3
"ENSG00000115252",2
"ENSG00000115268",4
"ENSG00000115286",3
"ENSG00000115306",3
"ENSG00000115310",4
"ENSG00000115365",4
"ENSG00000115380",2
"ENSG00000115419",4
"ENSG00000115461",3
"ENSG00000115468",3
"ENSG00000115484",3
"ENSG00000115541",4
"ENSG00000115641",2
"ENSG00000115694",2
"ENSG00000115738",3
"ENSG00000115756",4
"ENSG00000115762",4
"ENSG00000115875",2
"ENSG00000115944",4
"ENSG00000115977",4
"ENSG00000116030",3
"ENSG00000116106",4
"ENSG00000116133",4
"ENSG00000116161",4
"ENSG00000116209",3
"ENSG00000116251",4
"ENSG00000116254",3
"ENSG00000116260",2
"ENSG00000116288",4
"ENSG00000116337",2
"ENSG00000116396",2
"ENSG00000116459",4
"ENSG00000116574",3
"ENSG00000116604",2
"ENSG00000116649",3
"ENSG00000116661",4
"ENSG00000116675",4
"ENSG00000116741",2
"ENSG00000116752",2
"ENSG00000116857",4
"ENSG00000116871",2
"ENSG00000116983",4
"ENSG00000117069",3
"ENSG00000117115",2
"ENSG00000117152",3
"ENSG00000117154",3
"ENSG00000117155",2
"ENSG00000117266",2
"ENSG00000117318",3
"ENSG00000117410",4
"ENSG00000117419",4
"ENSG00000117450",4
"ENSG00000117519",3
"ENSG00000117592",4
"ENSG00000117600",4
"ENSG00000117616",3
"ENSG00000117632",4
"ENSG00000117691",4
"ENSG00000117906",4
"ENSG00000117984",3
"ENSG00000118160",4
"ENSG00000118181",4
"ENSG00000118194",3
"ENSG00000118200",3
"ENSG00000118257",2
"ENSG00000118271",3
