"","gene_id","gene_name","overall_rank","average_rank","n_withinTop1000"
"ENSMUSG00000029819","ENSMUSG00000029819","Npy",623,633,2
"ENSMUSG00000032518","ENSMUSG00000032518","Rpsa",624,633.5,2
"ENSMUSG00000028033","ENSMUSG00000028033","Kcnq5",625.5,634.5,2
"ENSMUSG00000029544","ENSMUSG00000029544","Cabp1",625.5,634.5,2
"ENSMUSG00000024883","ENSMUSG00000024883","Rin1",627,636,2
"ENSMUSG00000026223","ENSMUSG00000026223","Itm2c",628,636.5,2
"ENSMUSG00000063229","ENSMUSG00000063229","Ldha",629,637,2
"ENSMUSG00000035486","ENSMUSG00000035486","Plk5",630.5,637.5,2
"ENSMUSG00000025422","ENSMUSG00000025422","Agap2",630.5,637.5,2
"ENSMUSG00000054728","ENSMUSG00000054728","Phactr1",632,639.5,2
"ENSMUSG00000062151","ENSMUSG00000062151","Unc13c",633.5,641,2
"ENSMUSG00000034891","ENSMUSG00000034891","Sncb",633.5,641,2
"ENSMUSG00000059991","ENSMUSG00000059991","Nptx2",635.5,644.5,2
"ENSMUSG00000079598","ENSMUSG00000079598","Clec2l",635.5,644.5,2
"ENSMUSG00000078307","ENSMUSG00000078307","AI593442",637,645,2
"ENSMUSG00000031169","ENSMUSG00000031169","Porcn",638,646,2
"ENSMUSG00000011884","ENSMUSG00000011884","Gltp",639,647,2
"ENSMUSG00000064356","ENSMUSG00000064356","mt-Atp8",640,649,2
"ENSMUSG00000090125","ENSMUSG00000090125","Pou3f1",641,650,2
"ENSMUSG00000025504","ENSMUSG00000025504","Eps8l2",642,651,2
"ENSMUSG00000051391","ENSMUSG00000051391","Ywhag",643,652,2
"ENSMUSG00000037217","ENSMUSG00000037217","Syn1",644,652.5,2
"ENSMUSG00000054013","ENSMUSG00000054013","Tmem179",645,655,2
"ENSMUSG00000052301","ENSMUSG00000052301","Doc2a",646,656,2
"ENSMUSG00000004110","ENSMUSG00000004110","Cacna1e",647,657,2
"ENSMUSG00000046480","ENSMUSG00000046480","Scn4b",648,657.5,2
"ENSMUSG00000028931","ENSMUSG00000028931","Kcnab2",649,658.5,2
"ENSMUSG00000047797","ENSMUSG00000047797","Gjb1",650,661.5,2
"ENSMUSG00000032011","ENSMUSG00000032011","Thy1",651,662,2
"ENSMUSG00000021700","ENSMUSG00000021700","Rab3c",652,662.5,2
"ENSMUSG00000046442","ENSMUSG00000046442","Ppm1e",653,664,2
"ENSMUSG00000029304","ENSMUSG00000029304","Spp1",654,664.5,2
"ENSMUSG00000040938","ENSMUSG00000040938","Slc16a11",655.5,666.5,2
"ENSMUSG00000089815","ENSMUSG00000089815","Gm5083",655.5,666.5,2
"ENSMUSG00000021719","ENSMUSG00000021719","Rgs7bp",657,667,2
"ENSMUSG00000000560","ENSMUSG00000000560","Gabra2",658,669.5,2
"ENSMUSG00000003872","ENSMUSG00000003872","Lin7b",659,670,2
"ENSMUSG00000004455","ENSMUSG00000004455","Ppp1cc",660.5,670.5,2
"ENSMUSG00000038805","ENSMUSG00000038805","Six3",660.5,670.5,2
"ENSMUSG00000046523","ENSMUSG00000046523","Kctd4",662,671,2
"ENSMUSG00000045777","ENSMUSG00000045777","Ifitm10",663,671.5,2
"ENSMUSG00000079436","ENSMUSG00000079436","Kcnj13",664,672,2
"ENSMUSG00000102252","ENSMUSG00000102252","Snrpn",665,672.5,2
"ENSMUSG00000046402","ENSMUSG00000046402","Rbp1",666,673,2
"ENSMUSG00000026103","ENSMUSG00000026103","Gls",667,674,2
"ENSMUSG00000000632","ENSMUSG00000000632","Sez6",668,674.5,2
"ENSMUSG00000062328","ENSMUSG00000062328","Rpl17",669,677.5,2
"ENSMUSG00000029843","ENSMUSG00000029843","Slc13a4",670.5,678,2
"ENSMUSG00000070802","ENSMUSG00000070802","Pnmal2",670.5,678,2
"ENSMUSG00000024104","ENSMUSG00000024104","Washc2",672,678.5,2
"ENSMUSG00000026944","ENSMUSG00000026944","Abca2",673,681,2
"ENSMUSG00000053024","ENSMUSG00000053024","Cntn2",674,681.5,2
"ENSMUSG00000049630","ENSMUSG00000049630","C1ql3",675,682,2
"ENSMUSG00000030246","ENSMUSG00000030246","Ldhb",676,682.5,2
"ENSMUSG00000045589","ENSMUSG00000045589","Frrs1l",677,683,2
"ENSMUSG00000039629","ENSMUSG00000039629","Strip2",678,683.5,2
"ENSMUSG00000060882","ENSMUSG00000060882","Kcnd2",679,685.5,2
"ENSMUSG00000043384","ENSMUSG00000043384","Gprasp1",680,687.5,2
"ENSMUSG00000020015","ENSMUSG00000020015","Cdk17",681,688,2
"ENSMUSG00000021647","ENSMUSG00000021647","Cartpt",682,688.5,2
"ENSMUSG00000030729","ENSMUSG00000030729","Pgm2l1",683.5,689.5,2
"ENSMUSG00000036452","ENSMUSG00000036452","Arhgap26",683.5,689.5,2
"ENSMUSG00000022099","ENSMUSG00000022099","Dmtn",685,690,2
"ENSMUSG00000053192","ENSMUSG00000053192","Mllt11",686.5,691,2
"ENSMUSG00000079657","ENSMUSG00000079657","Rab26",686.5,691,2
"ENSMUSG00000024008","ENSMUSG00000024008","Cpne5",688,694.5,2
"ENSMUSG00000041141","ENSMUSG00000041141","Pnmal1",689,695,2
"ENSMUSG00000036815","ENSMUSG00000036815","Dpp10",690,697.5,2
"ENSMUSG00000046321","ENSMUSG00000046321","Hs3st2",691.5,699,2
"ENSMUSG00000020151","ENSMUSG00000020151","Ptprr",691.5,699,2
