"gene_id","gene_name","overall_rank","average_rank","n_withinTop1000"
"ENSMUSG00000024349","Tmem173",449.5,472,3
"ENSMUSG00000004897","Hdgf",451,472.333333333333,3
"ENSMUSG00000051124","Gimap9",452,473.333333333333,3
"ENSMUSG00000063011","Msln",453,473.5,2
"ENSMUSG00000029428","Stx2",454,474.666666666667,3
"ENSMUSG00000028776","Tinagl1",455,476.333333333333,3
"ENSMUSG00000031885","Cbfb",456,477.333333333333,3
"ENSMUSG00000030047","Arhgap25",457,477.666666666667,3
"ENSMUSG00000007836","Hnrnpa0",458,478.666666666667,3
"ENSMUSG00000031633","Slc25a4",459.5,479,3
"ENSMUSG00000036106","Prr5",459.5,479,3
"ENSMUSG00000058655","Eif4b",461,481,3
"ENSMUSG00000028478","Clta",462,481.666666666667,3
"ENSMUSG00000039844","Rapgef1",463.5,482,3
"ENSMUSG00000074886","Grk6",463.5,482,3
"ENSMUSG00000029217","Tec",465,484,3
"ENSMUSG00000027347","Rasgrp1",466,485,3
"ENSMUSG00000078350","Smim1",467,485.666666666667,3
"ENSMUSG00000023505","Cdca3",468,486.333333333333,3
"ENSMUSG00000040618","Pck2",469,487,3
"ENSMUSG00000022283","Pabpc1",470,487.666666666667,3
"ENSMUSG00000018909","Arrb1",471,488.333333333333,3
"ENSMUSG00000023078","Cxcl13",472,489.333333333333,3
"ENSMUSG00000025366","Esyt1",473,491,3
"ENSMUSG00000018398","Sept8",474,491.666666666667,3
"ENSMUSG00000047648","Fbxo30",475,492,3
"ENSMUSG00000039158","Akna",476,492.666666666667,3
"ENSMUSG00000022425","Enpp2",477,494.333333333333,3
"ENSMUSG00000030748","Il4ra",478.5,495.666666666667,3
"ENSMUSG00000019942","Cdk1",478.5,495.666666666667,3
"ENSMUSG00000071076","Jund",480,497,3
"ENSMUSG00000006304","Arpc2",481,497.333333333333,3
"ENSMUSG00000041515","Irf8",482,497.666666666667,3
"ENSMUSG00000004568","Arhgef18",483,499.333333333333,3
"ENSMUSG00000052142","Rasal3",484,499.666666666667,3
"ENSMUSG00000074071","Fam169b",485.5,500,3
"ENSMUSG00000024339","Tap2",485.5,500,3
"ENSMUSG00000031897","Psmb10",487,502,3
"ENSMUSG00000024516","Sec11c",488,505.333333333333,3
"ENSMUSG00000022508","Bcl6",489.5,506.666666666667,3
"ENSMUSG00000022838","Eaf2",489.5,506.666666666667,3
"ENSMUSG00000032946","Rasgrp2",491,507.666666666667,3
"ENSMUSG00000000409","Lck",492,512,3
"ENSMUSG00000021361","Tmem14c",493,512.333333333333,3
"ENSMUSG00000061878","Sphk1",494,512.666666666667,3
"ENSMUSG00000032249","Anp32a",495.5,513.666666666667,3
"ENSMUSG00000010048","Ifrd2",495.5,513.666666666667,3
"ENSMUSG00000072941","Sod3",497.5,516.666666666667,3
"ENSMUSG00000022659","Gcsam",497.5,516.666666666667,3
"ENSMUSG00000041842","Fhdc1",499,518,3
"ENSMUSG00000037318","Traf3ip3",500,518.666666666667,3
"ENSMUSG00000067212","H2-T23",501,520.666666666667,3
"ENSMUSG00000022488","Nckap1l",502,522,3
"ENSMUSG00000030691","Fchsd2",503,522.333333333333,3
"ENSMUSG00000055723","Rras2",504,523.333333333333,3
"ENSMUSG00000030742","Lat",505.5,527,3
"ENSMUSG00000022438","Parvb",505.5,527,3
"ENSMUSG00000027423","Snx5",507,528.333333333333,3
"ENSMUSG00000068735","Trp53i11",508,528.666666666667,3
